TERM	DOC_FREQUENCY	COLL_FREQUENCY	BYTE_OFFSET_PL
bonds	14	17	26790
bones	13	16	26803
bonneville	13	15	26815
bonnie	13	14	26822
bonus	13	14	26829
bonuses	13	14	26836
boohooing	13	14	26843
book	13	14	26850
booking	12	13	26886
bookings	14	15	26893
books	12	13	26912
boom	11	12	26931
booms	11	11	26955
boorne	13	13	26962
boosting	13	13	26969
boots	13	13	26976
bora	13	14	26989
border	17	20	26996
borders	18	23	27009
bore	18	23	27022
born	20	25	27029
borne	20	22	27113
borough	20	22	27126
borowskiâs	18	19	27157
borthwick	19	20	27163
bosch	20	21	27170
bosnian	20	21	27177
bossuet	18	19	27196
boston	21	22	27203
both	23	24	27210
botox	19	28	27341
bottle	19	28	27347
bottles	13	16	27414
bottom	10	11	27445
bought	11	12	27469
bounced	10	13	27482
boundaries	10	13	27489
boundary	13	16	27502
bourner	13	16	27509
bow	13	16	27516
bowed	12	13	27535
bowl	18	19	27542
bowne	12	13	27591
box	12	13	27598
boy	14	25	27617
boyd	13	24	27635
boys	13	24	27642
bp	13	23	27649
bpm	14	24	27656
br	15	25	27663
brachial	15	18	27670
bracing	15	18	27677
brad	16	19	27684
brahms	16	19	27690
brain	16	19	27697
brains	10	11	27758
branch	10	11	27765
branches	10	10	27778
brand	10	10	27790
brands	11	11	27809
brandy	19	22	27828
brass	11	11	27883
bread	10	10	27896
breadth	10	10	27902
break	10	10	27909
breakdown	10	10	27922
breaks	11	11	27941
breast	11	11	27954
breath	11	11	27961
breathe	10	10	27980
breathing	10	10	27993
breathtaking	10	10	27999
breezy	10	10	28012
brew	11	11	28019
bride	11	11	28026
brief	10	11	28039
bright	10	11	28046
brightening	11	12	28052
brighter	11	12	28059
brine	11	12	28066
bring	11	12	28073
bringing	15	18	28119
brings	15	18	28126
britain	16	19	28133
british	16	19	28139
broad	13	16	28176
broadcasted	13	16	28183
broadcasts	13	16	28190
broader	13	17	28197
broadly	12	16	28210
broglie	11	15	28229
broken	12	16	28236
brokerage	11	15	28255
brokers	10	14	28274
bronze	10	14	28287
brooks	10	13	28294
brother	10	10	28313
brothers	10	10	28331
brought	10	10	28349
brown	13	14	28368
browncolored	14	15	28393
browse	15	16	28399
browser	18	22	28406
browsers	15	16	28431
bruce	22	25	28438
bruces	13	13	28505
bthe	14	15	28512
buccal	14	15	28519
bud	14	15	28526
budder	14	15	28533
budget	13	14	28546
budgeting	13	14	28553
bugfree	13	15	28560
buidings	14	16	28567
build	16	18	28574
builders	12	17	28635
building	17	22	28672
buildings	15	19	28755
built	15	18	28761
bulbs	9	12	28822
bulk	9	12	28828
bull	9	12	28834
bundles	10	13	28840
bungalow	9	12	28851
burchett	9	12	28858
burden	9	11	28865
burdens	9	11	28872
bureau	9	11	28879
burn	10	10	28922
burna	11	11	28935
burne	12	12	28948
burner	10	10	28967
burns	10	10	28974
burton	10	11	28981
burying	17	17	28994
buses	17	17	29001
bush	17	17	29008
busiest	20	20	29015
business	20	20	29021
bustling	16	17	29105
butane	13	14	29136
butcher	13	14	29155
button	11	13	29185
buttons	11	13	29198
buy	11	13	29205
buyer	11	13	29218
buying	11	13	29225
buys	12	14	29238
bypass	12	14	29245
bypassed	11	13	29258
bypassing	11	13	29265
c	11	13	29272
ca	13	14	29313
cabinet	9	10	29350
cable	9	11	29357
cabrinovic	9	10	29370
caddo	9	10	29377
cafeteria	9	10	29384
caffeine	11	12	29391
cage	16	19	29397
cahokia	17	17	29428
cajun	17	17	29435
calc	17	17	29442
calcs	17	17	29449
calculate	17	17	29456
calculating	18	18	29469
calculation	19	19	29476
calculator	19	20	29483
calculators	19	20	29502
california	27	31	29509
californias	32	35	29582
call	38	44	29595
called	37	43	29608
calling	10	12	29824
calls	11	15	29831
calorie	25	42	29862
calumny	25	42	29869
calusa	25	42	29876
cambridge	32	51	29889
came	32	50	29896
campbell	77	119	29919
camper	78	121	29926
camping	78	120	29933
campsite	90	133	29940
campus	106	153	29947
camus	133	184	29966
can	147	205	29972
canada	16	19	30839
canadaicks	10	10	30890
canadaâs	10	10	30897
canadian	9	9	30910
canadien	11	11	30923
canaliculi	11	11	30930
canals	12	12	30936
cancel	12	12	30943
cancelling	12	12	30950
cancer	14	14	30957
cancerspv	13	13	30974
candidate	14	15	30981
candidates	19	26	30994
candle	14	14	31037
candles	14	14	31044
candy	13	13	31057
canine	13	13	31064
cannabist	13	13	31071
cannon	14	14	31090
cannot	14	15	31097
cans	14	16	31146
cant	12	14	31165
cap	13	14	31196
capable	12	12	31215
capacity	15	16	31222
capes	13	14	31247
capita	13	15	31254
capital	13	15	31261
caps	11	12	31298
captain	11	12	31305
capthe	11	12	31318
capture	11	12	31325
car	11	12	31332
carbonated	13	14	31345
carbondalemarionherrin	14	14	31352
carcinoma	14	14	31359
card	17	17	31365
cardiac	18	20	31390
cardinal	18	20	31403
care	18	20	31410
career	11	14	31479
careeredit	10	12	31509
carefully	10	12	31516
caregivers	10	11	31523
caressed	11	13	31530
carf	11	13	31537
cargo	11	13	31544
carl	10	11	31557
carlo	10	11	31564
carlos	11	14	31570
carmen	11	15	31583
carolina	10	12	31602
caroline	11	11	31613
carpenter	11	11	31620
carpet	11	11	31627
carried	12	12	31634
carrier	12	12	31647
carriers	12	13	31678
carries	11	11	31691
carry	10	11	31707
carrying	11	12	31726
cars	11	12	31733
carson	11	13	31740
cartridge	10	12	31753
carved	10	12	31766
cary	13	14	31779
case	13	14	31786
cases	13	14	31799
cashier	10	10	31852
castiel	15	18	31859
cataract	16	19	31866
catch	16	19	31873
catchall	19	25	31880
catechins	18	24	31893
categories	19	25	31900
categorized	24	31	31925
category	31	40	31932
cattle	29	35	31957
caucasian	29	35	31964
caught	29	35	31971
cause	32	38	31989
caused	20	23	32171
causes	17	27	32271
causing	12	14	32352
cavalier	11	16	32395
cavern	11	16	32402
cavernhis	11	16	32409
caves	11	16	32416
cavity	17	25	32423
cb	17	28	32435
cbc	16	27	32448
cbcs	16	27	32455
cbsa	16	27	32462
cdcâs	19	30	32469
cdps	18	30	32482
ce	18	30	32489
celebrate	21	34	32496
celebrated	25	38	32503
celebration	24	41	32534
celebs	24	41	32541
cell	24	41	32548
cello	27	47	32596
cellphone	31	55	32603
cells	30	50	32622
celltower	24	42	32681
cellular	23	42	32694
celsius	24	43	32701
census	24	42	32714
censusviewer	14	17	32841
centennial	16	20	32866
center	19	23	32873
centered	19	25	32938
centers	18	24	32951
central	17	22	32964
centuries	19	20	33019
century	23	25	33037
centurythe	17	17	33127
cereal	18	18	33134
cereale	18	18	33140
certain	20	20	33146
certainly	15	15	33204
certified	13	14	33229
cf	13	13	33236
ch	13	13	33243
chain	13	13	33250
chains	13	13	33257
chair	13	13	33264
chairman	12	12	33277
challenge	12	12	33284
challenged	12	12	33291
challenges	13	13	33297
challenging	12	12	33310
champion	13	13	33323
champions	13	13	33330
championship	13	13	33337
chance	18	20	33350
change	20	23	33379
changed	12	12	33491
changes	14	19	33504
changing	10	11	33557
channel	14	15	33576
channels	15	16	33589
chapter	16	17	33602
chapters	16	19	33609
character	18	22	33616
characteristics	17	23	33671
characterized	16	22	33690
characters	18	23	33703
charge	14	17	33746
charged	10	11	33789
charges	10	11	33796
charles	11	12	33809
charlie	11	13	33827
charlottesville	12	14	33834
charnel	12	13	33841
chart	12	13	33848
charter	12	13	33878
charts	12	13	33885
chauvin	14	17	33904
cheaper	14	17	33911
check	16	19	33918
checked	17	23	33955
checklist	16	22	33974
checks	20	27	33981
cheddar	20	27	33988
cheek	18	21	34007
cheeks	28	41	34020
cheese	28	41	34027
cheeses	20	27	34082
chemical	20	27	34089
chemicals	12	13	34184
chemistry	11	12	34202
cherney	17	25	34233
chest	18	26	34240
chewed	19	26	34264
chewing	18	25	34277
chicago	18	25	34290
chicagos	11	12	34339
chickenpox	11	12	34346
chief	11	12	34353
chiefs	9	10	34375
chieftains	9	10	34382
child	10	11	34389
childhood	17	22	34408
children	17	20	34450
childrenâdose	17	27	34517
childs	17	27	34524
childâs	17	27	34537
china	20	33	34544
chinaamerican	18	28	34609
chinas	18	28	34616
chinese	18	28	34623
chirpingbarkingwoofhowl	19	25	34656
chittagong	20	26	34663
chloride	18	23	34688
choice	19	23	34695
choices	16	20	34755
cholanoids	16	20	34768
cholestasis	14	17	34784
cholestasisile	14	17	34790
cholestatic	14	17	34796
choose	14	17	34802
choosing	9	9	34857
chops	9	9	34864
chose	9	9	34871
chris	9	9	34884
christened	9	9	34891
christmas	9	9	34898
chronic	9	9	34905
churches	9	9	34917
churton	9	9	34923
ciel	9	9	34930
ciliospinal	10	11	34937
circle	10	11	34944
circles	11	12	34974
circular	12	12	34980
circulates	11	11	34993
circulating	14	25	35004
circulation	14	25	35011
circumscribed	14	25	35024
circumvent	15	26	35031
cirrhosis	14	25	35044
cismont	10	10	35070
citation	10	10	35077
cite	10	10	35084
cited	10	10	35091
cities	11	12	35104
citizens	21	27	35164
citronella	24	33	35195
citrus	35	59	35202
city	43	71	35209
citydatacom	14	17	35456
citys	14	17	35463
civil	14	17	35488
civilian	13	16	35511
civilized	11	11	35530
cl52	11	11	35537
claim	11	13	35544
claimed	14	15	35585
clarify	13	15	35604
clarity	13	15	35611
class	13	15	35617
classes	12	13	35653
classic	12	12	35666
classical	12	12	35679
classification	9	9	35704
classified	9	9	35717
classify	9	9	35722
classroom	9	9	35729
clays	10	10	35736
cleaning	11	11	35743
clear	12	12	35750
clearest	16	17	35781
clearing	17	18	35788
clearly	17	18	35795
clearwater	21	23	35814
cleveland	19	20	35833
click	19	20	35839
clicked	12	12	35917
clicking	12	13	35924
clickingtic	14	17	35931
client	16	20	35938
clients	13	14	35980
climate	18	19	35987
climax	16	18	36023
climbing	16	18	36030
climbs	16	18	36037
clinic	16	18	36044
clinica	16	18	36050
clinical	16	18	36056
clinicalanatomical	12	14	36099
clinically	12	14	36106
clinics	12	14	36125
clip	12	14	36132
clock	12	14	36139
cloroxâ®	12	14	36146
close	14	16	36153
closely	10	11	36196
closer	10	11	36215
closest	11	12	36240
closing	19	23	36258
closure	22	28	36265
clothes	22	28	36272
cloud	23	30	36279
club	23	30	36284
cm	22	28	36321
cn	32	53	36328
cnles	25	44	36383
cns	25	44	36396
co	25	44	36403
co2	23	42	36422
coal	23	42	36429
coast	23	42	36441
coastal	23	41	36470
coasts	22	40	36483
coauthored	22	40	36490
cobham	22	41	36496
cobuild	25	44	36503
code	27	48	36510
codepostal	14	15	36643
codes	17	21	36656
coffee	13	18	36735
coffin	14	17	36765
cohen	14	17	36772
coils	14	16	36779
coincide	17	20	36786
coined	17	20	36793
cola	17	20	36800
cold	16	20	36819
coldest	13	15	36885
collateral	12	14	36898
colleague	12	14	36905
collect	12	14	36912
collected	12	14	36919
collection	19	26	36932
college	19	26	36955
colleges	10	12	37046
collegeâs	11	14	37070
collins	11	14	37077
collinsville	15	17	37090
colon	15	17	37097
color	21	23	37108
coloradoâs	13	13	37167
colorless	11	11	37198
colors	11	12	37210
colorâurine	13	14	37222
columbia	13	14	37228
column	13	14	37245
columnist	17	18	37269
columns	17	18	37276
com	13	13	37319
combination	13	14	37332
combinations	14	16	37362
combine	15	17	37369
combined	14	16	37380
combining	14	15	37399
come	15	16	37411
comedy	19	26	37471
comes	19	26	37478
comfort	22	26	37533
comfree	25	31	37546
comic	26	32	37553
comics	26	32	37566
coming	25	31	37579
comiskey	20	24	37622
comment	20	24	37629
comments	20	23	37648
commercial	20	23	37655
commercially	12	14	37731
commission	12	13	37738
commitment	16	17	37775
committee	16	17	37782
committees	16	17	37789
commodities	25	30	37801
commodity	25	30	37808
common	27	32	37815
commonalities	13	14	37975
commonly	13	14	37982
commonplace	12	12	38007
commonsense	12	13	38014
communicating	14	17	38021
communication	15	18	38028
communications	15	18	38051
communities	15	18	38070
communitiesâthe	14	16	38081
community	19	26	38087
commute	13	15	38184
commuting	13	15	38191
companies	16	18	38204
company	20	24	38253
companyâs	21	21	38308
compare	21	21	38315
compared	15	15	38382
comparing	11	11	38425
comparison	14	16	38448
comparisons	14	16	38455
compartir	14	16	38467
compass	14	16	38474
compete	11	11	38505
competence	11	11	38512
competition	11	11	38525
compiled	11	11	38532
complain	11	11	38545
complained	12	12	38552
complaining	12	12	38559
complementary	12	12	38566
complete	11	11	38583
completed	11	12	38614
completely	10	10	38656
completion	13	13	38662
complex	13	13	38669
complexity	9	10	38720
compliance	9	11	38727
complications	10	12	38733
component	10	11	38740
components	9	11	38756
composed	9	12	38769
composer	11	13	38799
composers	10	13	38824
composerâs	10	12	38831
composition	10	12	38838
compound	10	12	38845
compressed	10	12	38852
compressor	10	12	38859
comprise	11	12	38866
computer	11	11	38873
computeradaptive	10	10	38898
computing	10	10	38905
conceal	13	13	38912
concentrate	13	13	38919
concentrated	15	17	38932
concentrates	15	17	38938
concentration	11	11	38981
concentrations	12	13	38999
concept	12	13	39006
concepts	13	14	39030
conceptualised	13	14	39037
concern	12	13	39048
concerned	12	13	39055
concerning	13	14	39079
concerns	12	13	39096
concertos	13	15	39109
concessions	17	23	39116
concluded	17	23	39123
concrete	19	26	39129
condensation	17	23	39151
condition	13	15	39182
conditions	13	14	39212
condo	15	20	39261
condominiums	12	12	39298
condos	13	17	39317
conducive	11	11	39342
conduct	12	12	39348
conducted	13	13	39355
conductive	15	15	39371
conferencing	14	14	39382
confidence	14	14	39388
configured	14	14	39406
confirm	14	14	39413
confirmed	14	14	39419
confirms	12	12	39438
conflicts	11	11	39451
confluence	11	11	39464
confusing	12	14	39471
confusion	14	17	39478
congress	14	17	39485
congressional	14	17	39509
coniferous	12	14	39534
conjunction	12	14	39541
connect	12	14	39547
connecticut	11	11	39578
connectin	11	11	39585
connecting	11	14	39592
connections	11	14	39605
connectivity	11	14	39612
connery	11	14	39619
connotations	11	11	39626
connu	12	12	39633
consecutive	12	12	39640
consensual	12	12	39647
consequence	11	11	39660
consequences	11	11	39667
consequently	10	10	39680
conservative	13	13	39693
conserved	13	13	39700
consider	13	13	39707
considerable	13	13	39720
considered	13	13	39727
considering	10	10	39770
considers	12	12	39795
consistency	12	12	39801
consistent	12	12	39808
consisting	15	15	39815
consists	11	11	39852
consolidated	10	11	39876
conspiratorsnedjelko	12	13	39889
constantinople	12	13	39896
constantinopleâcontinued	12	13	39903
constantly	12	13	39910
constitute	12	13	39917
constituting	12	13	39924
constitutional	13	14	39937
constriction	13	14	39943
constrictor	12	12	39956
construct	12	12	39963
constructed	14	15	39976
construction	15	17	39989
constructions	9	9	40044
consuelo	9	9	40051
consult	13	14	40058
consumed	13	14	40065
consumer	14	16	40071
consumers	13	14	40088
consumption	14	15	40095
contact	14	15	40102
contacted	10	10	40151
contacts	10	10	40158
contain	12	15	40171
contained	14	18	40202
container	14	18	40208
containerdeposit	12	13	40233
containers	14	17	40240
contains	12	13	40265
contemporary	10	10	40326
content	10	10	40339
contention	14	17	40352
contentious	14	17	40365
contextually	14	17	40372
continental	13	16	40385
contingencies	13	16	40392
contingent	13	16	40399
continuation	13	16	40406
continue	13	16	40413
continued	14	17	40426
continues	15	18	40433
continuous	18	21	40462
contract	18	22	40469
contraction	20	29	40512
contractor	21	30	40519
contractors	17	23	40566
contracts	13	14	40603
contractualobligations	13	14	40616
contrary	13	14	40623
contrast	13	14	40629
contribute	16	17	40654
contributed	16	17	40661
contributes	19	22	40668
contributing	19	23	40675
contribution	21	25	40688
control	23	27	40695
controlled	21	22	40778
controlling	19	20	40797
controversial	19	20	40804
convenience	16	17	40835
convenient	16	17	40842
conveniently	17	18	40849
conversation	17	18	40856
conveyed	17	18	40869
convict	17	18	40876
convictionâ	16	16	40889
convince	16	19	40896
conway	16	19	40903
cook	16	19	40910
cool	15	15	40927
cools	13	13	40952
coop	13	13	40959
cooperation	13	13	40966
cooperative	13	13	40973
coordinate	15	15	40985
coordinated	15	15	40998
copies	21	26	41011
copying	21	27	41018
cor	21	26	41025
core	21	26	41032
coreâ¢	21	26	41039
cornell	22	30	41046
corner	23	31	41053
coronary	23	31	41060
corporation	27	35	41067
corporationatt	29	38	41074
corps	30	40	41081
corpus	28	38	41094
correct	26	35	41113
correlates	26	35	41131
corresponding	26	35	41138
corruption	25	34	41149
corticosteroids	26	37	41155
cosmetic	25	35	41166
cosmopolitan	25	35	41178
cost	27	37	41185
costa	26	33	41317
costing	17	19	41368
costly	17	19	41375
costochondritis	17	19	41382
costofliving	17	19	41388
costs	21	25	41395
cottage	26	30	41443
could	27	31	41450
couldnt	15	15	41592
council	16	16	41599
count	21	33	41612
counterparts	20	32	41625
counties	20	32	41632
countries	25	38	41645
country	27	43	41692
countryspecific	22	38	41787
countryâs	22	38	41794
county	22	38	41813
couple	16	19	41898
coupling	16	21	41929
course	17	22	41936
courses	17	21	41967
coursework	15	20	41986
court	15	19	41993
courthouse	11	12	42030
courtroom	11	12	42037
courts	11	14	42044
cousin	12	15	42057
cover	11	15	42070
coverage	10	14	42095
covered	10	14	42113
covering	9	13	42131
covers	10	15	42138
coves	13	16	42163
cow	13	16	42170
cowan	12	15	42183
cpa	20	41	42190
crabgrass	18	39	42209
cracked	10	14	42264
crafted	9	12	42277
craigslist	9	12	42284
creamy	10	12	42291
create	10	12	42298
created	11	12	42311
creates	9	10	42348
creating	11	16	42360
creation	11	16	42373
creative	12	17	42380
creator	12	17	42387
creature	13	18	42394
credible	15	21	42407
credit	15	21	42414
credited	13	15	42436
credithour	14	15	42443
creditlevel	14	15	42450
creeping	14	15	42457
crest	15	16	42464
crime	17	21	42470
criminal	24	30	42504
crisfield	16	19	42566
critic	17	20	42572
critical	17	21	42579
critics	15	20	42604
critters	15	19	42611
crop	15	19	42618
crops	14	18	42629
crosstalk	14	18	42635
crosstown	14	18	42641
croupiers	15	19	42648
crow	14	18	42661
crozet	14	19	42668
crucial	14	19	42675
cruise	18	23	42682
cruiser	13	15	42719
crushed	13	16	42726
crusie	13	16	42733
crust	14	17	42740
crystal	14	17	42747
crystals	14	16	42760
cubs	14	16	42767
cuff	10	12	42798
cuisine	11	12	42811
cultivated	11	12	42817
cultural	11	12	42823
culture	14	15	42841
cup	11	12	42872
cups	13	14	42885
curbside	14	15	42891
curd	14	15	42898
cure	14	15	42905
current	15	16	42912
currently	11	11	43001
curriculum	13	13	43026
curve	13	13	43033
custody	14	14	43040
custom	16	16	43047
customary	17	17	43054
customer	16	16	43067
customers	16	16	43074
customized	16	16	43081
cut	16	16	43088
cutting	14	14	43131
cwhen	14	14	43138
cycle	16	16	43145
cyprian	16	16	43152
czech	15	15	43165
d	19	20	43178
dabbing	22	24	43203
dabs	20	22	43234
dacieux	19	21	43247
daily	19	21	43254
dairy	18	20	43267
damage	18	20	43280
damaged	9	9	43353
damages	10	11	43365
damper	10	12	43388
dance	10	12	43395
dandelions	13	18	43408
dang	12	16	43421
danger	12	16	43428
dangerous	13	18	43440
dangertrouble	13	18	43447
daniel	16	24	43454
danilo	16	24	43461
danish	21	30	43468
dans	21	30	43475
danube	26	35	43482
dark	28	38	43489
darker	28	37	43500
darrin	27	36	43511
data	32	43	43518
database	17	18	43674
databases	17	18	43687
datatexthtmlí¾charsetutfâ­83ctable20cellspacing3d2202220cellpadding3d2202220width3d22100252220border3d22022â¦	17	19	43700
date	17	19	43707
dating	17	19	43714
daughter	18	20	43720
daunting	19	20	43733
davern	19	20	43740
david	19	20	43747
dawn	21	23	43784
day	23	28	43791
daylight	11	13	43906
days	15	16	43913
daysuidelines	10	11	43978
daytime	10	11	43985
dazzle	9	10	43998
dcurbanmomcom	9	10	44004
de	9	10	44011
dead	9	10	44036
deadâ	13	14	44060
deal	13	14	44067
dealing	15	20	44086
deals	15	20	44093
dean	13	14	44112
death	13	13	44119
debatable	12	12	44150
debts	12	12	44157
decade	12	12	44164
decades	13	14	44181
decadesthe	13	14	44200
december	13	14	44207
decent	13	14	44226
decide	12	13	44239
decided	11	11	44276
decidedly	11	11	44288
decides	11	11	44295
deciding	11	11	44302
decimated	12	12	44314
decision	11	11	44327
decisions	21	34	44340
deck	20	33	44359
decks	20	33	44366
declaration	19	32	44377
decline	19	32	44384
decrease	18	29	44397
decreased	23	40	44410
decreases	23	40	44428
decreasing	24	41	44435
dect	23	40	44448
dedicated	24	41	44455
deduct	24	41	44462
dee	24	42	44469
dees	20	34	44506
defamation	25	47	44519
defamationâalso	19	31	44562
defamatory	21	36	44569
defamed	20	32	44588
defaming	19	31	44601
default	19	31	44608
defaults	10	11	44669
defect	10	11	44676
defence	11	11	44683
defender	11	11	44690
defending	11	11	44697
defense	11	11	44704
defer	10	10	44723
define	10	10	44730
defined	11	11	44737
defining	12	12	44756
definite	12	12	44763
definition	12	12	44770
definitive	10	10	44825
deforestation	10	10	44832
defrost	11	11	44839
deglutition	18	20	44846
degree	17	19	44859
degrees	17	22	44925
dehydrated	12	12	44979
dehydration	12	12	44985
delaware	12	12	44992
delawareepending	14	14	44999
delegation	15	15	45006
delicate	16	16	45013
delivered	16	16	45020
delivers	14	14	45039
delivery	13	13	45064
delta	13	13	45089
demand	13	13	45096
demands	11	11	45121
demerol	11	12	45128
demographic	13	15	45135
demographics	15	20	45148
demonic	10	13	45215
demons	11	15	45222
demonstrate	10	13	45235
demonstrates	10	13	45242
demonstrative	11	15	45248
dennis	11	17	45261
denote	13	19	45268
denoted	14	20	45275
density	15	23	45282
dental	12	12	45347
dentistry	12	12	45353
deoxyribonucleotides	12	12	45359
depart	12	12	45366
department	12	12	45373
departmental	13	15	45421
departments	13	15	45428
depend	14	16	45435
dependent	19	21	45454
depending	23	25	45461
depends	19	25	45551
deposit	21	27	45582
deposition	18	20	45607
depositrefund	19	22	45620
deposits	19	22	45627
depressed	19	22	45634
depression	19	22	45653
deprived	15	15	45702
deputy	15	15	45709
derek	16	16	45716
derivation	16	16	45723
derived	15	15	45736
derives	15	15	45755
descartes	15	15	45768
descendant	15	15	45775
describe	15	15	45782
described	15	15	45807
describes	14	14	45824
description	12	13	45855
desert	13	14	45862
design	13	14	45867
designated	10	10	45910
designating	12	12	45927
designed	12	12	45934
designing	14	16	45968
designs	14	16	45975
desktop	14	17	45982
desperately	14	16	45989
despite	14	16	45996
destination	13	15	46021
destroyed	13	15	46038
destroys	15	17	46044
detail	13	14	46060
detailed	13	14	46067
details	11	12	46122
detect	12	13	46128
determine	12	13	46135
determined	11	12	46182
determines	11	12	46201
determining	12	13	46208
detonated	12	13	46214
devastation	12	13	46219
develop	12	13	46226
developed	13	14	46267
developing	13	13	46292
development	13	13	46299
developments	14	14	46332
device	15	15	46351
devices	15	20	46382
devicesâthe	15	20	46389
devolved	15	21	46396
devotion	15	21	46403
dhaka	15	21	46410
diabetes	13	19	46429
diablo	11	12	46459
diagnose	11	12	46466
diagnosed	11	12	46473
diagnoses	13	15	46498
diagnosis	14	16	46505
diagram	14	15	46523
diagrams	16	18	46536
dialect	16	18	46543
dialects	16	18	46550
dialogue	16	17	46557
dialogues	16	17	46563
diamond	16	17	46569
diamonds	16	17	46576
diapers	17	19	46583
diaphragm	17	19	46590
diastolic	20	22	46596
dictionary	20	22	46603
dictionarycom	17	18	46634
did	20	21	46641
didn	14	14	46748
didnt	14	14	46755
didnât	14	14	46762
die	15	15	46769
diego	15	15	46776
dies	16	16	46783
diet	16	16	46790
diffculty	17	17	46797
difference	21	21	46804
differences	21	24	46846
different	24	28	46859
differentiate	12	16	47003
differentiated	12	16	47010
differing	12	16	47017
difficult	12	16	47024
difficulty	12	16	47037
diffusion	13	17	47044
digest	13	17	47050
digestion	13	16	47056
digestive	15	18	47062
digit	13	16	47078
digital	13	16	47085
digits	12	13	47116
dignity	10	11	47141
dilated	10	12	47148
dilemma	10	12	47155
dilemmas	11	14	47162
dimension	10	13	47175
dimensions	11	14	47188
diminished	10	12	47207
dimitrije	13	15	47214
dimming	13	15	47221
dining	13	15	47228
diomede	13	15	47241
diplomatic	14	15	47248
direct	14	15	47254
direction	12	13	47303
directions	14	17	47332
directly	14	16	47339
director	11	12	47399
dirt	11	12	47416
disambiguation	11	12	47429
disappointing	11	11	47441
disaster	11	11	47448
disasters	11	11	47455
disciplinary	12	12	47462
disclaimer	12	12	47469
discomfort	12	12	47476
discount	12	13	47483
discounts	12	13	47490
discover	12	13	47497
discovered	13	14	47516
discretionary	13	14	47529
discrimination	11	12	47548
discuss	11	12	47554
discussed	10	11	47584
discussions	10	11	47591
disease	15	19	47597
diseasediagnosis	10	12	47658
diseases	10	12	47665
diseasesombination	9	11	47689
disinfectants	9	11	47695
disintegrate	9	11	47702
dislocation	9	11	47709
disorder	9	10	47716
disorders	15	21	47728
dispersed	10	11	47770
displaced	10	11	47777
displayed	10	11	47784
displaystyle	10	12	47797
dispute	11	12	47804
dissecting	11	11	47815
dissection	12	14	47822
dissemination	11	13	47833
dissociation	15	17	47840
distance	15	17	47847
distilled	11	11	47896
distinction	11	11	47908
distinctly	10	10	47932
distinguish	10	10	47945
distinguishes	12	19	47952
distress	12	20	47959
distribute	11	19	47972
distribution	11	20	47979
distributorrun	11	20	47986
district	11	20	47993
districts	9	10	48024
disturbance	9	11	48031
disturbances	11	13	48038
disturbed	11	13	48044
ditdoodaditdoodadit	12	14	48051
dithopyr	12	15	48070
diuretic	12	14	48077
diversions	12	14	48083
divided	21	50	48090
divine	22	54	48120
division	22	53	48127
dizziness	31	61	48163
dlysergic	33	63	48182
dmitri	34	64	48189
dna	35	66	48196
dntps	27	30	48269
do	33	36	48276
dock	18	22	48474
docks	18	22	48481
doctor	15	16	48506
doctors	15	16	48525
document	15	16	48531
documentary	15	15	48554
documented	15	15	48567
documents	15	15	48574
doddfrank	16	16	48599
doegovme70history	16	17	48612
does	17	18	48617
doesn	12	15	48705
doesnt	12	15	48712
doesnât	10	12	48743
dog	11	14	48750
dogs	11	12	48763
dogwoods	11	12	48776
doing	11	11	48783
domain	14	15	48819
domestic	15	16	48826
dominance	15	16	48832
dominated	16	17	48838
donald	15	17	48863
donate	15	18	48882
donaudampfschiffahrtsgesellschaftskapitã¤n	16	19	48889
done	16	19	48896
dont	14	18	48949
donât	13	15	49004
doodaditdooda	16	19	49035
doodle	14	17	49054
door	14	18	49061
doors	15	18	49074
doppler	16	17	49087
dormant	15	16	49100
dosage	14	14	49125
dose	18	22	49132
doses	14	14	49163
dosing	14	14	49170
double	14	14	49177
doublehelix	14	14	49196
doubles	14	14	49203
doubly	14	14	49210
doug	18	18	49217
down	21	21	49224
downloadable	15	22	49308
downton	15	22	49315
downtown	15	22	49322
downtown4sale	24	35	49353
downtownrealtyteam	24	35	49360
dr	24	35	49367
drab	19	22	49479
dragonâ	19	22	49486
drama	19	22	49493
dramatic	19	22	49512
dramatically	18	21	49531
drank	18	21	49538
drawn	17	20	49555
dreadfully	17	20	49562
dream	17	20	49569
dreamed	17	20	49582
dreamin	17	20	49589
drenthe	17	20	49596
drier	17	20	49603
driest	17	20	49610
drift	18	21	49641
drink	18	21	49648
drinkable	18	22	49672
drinking	18	22	49679
drive	17	20	49702
driving	16	19	49727
drop	17	24	49740
dropper	20	27	49753
dropping	19	22	49766
drought	19	22	49773
drowned	15	15	49809
drowning	19	19	49816
drug	19	19	49823
drumbeats	17	22	49859
drummond	17	22	49866
drums	17	22	49873
dry	14	19	49898
dryland	15	20	49911
dsl	14	19	49924
dual	15	20	49931
dualcore	14	19	49944
dubois	15	20	49951
duchess	18	24	49958
ducts	19	25	49965
dudley	17	18	49981
due	19	21	49987
dueled	30	36	50075
dues	33	39	50082
dull	33	40	50095
duly	30	36	50120
dump	30	36	50127
dumping	30	36	50134
duproprio	34	40	50153
durable	34	40	50160
duration	34	40	50167
during	36	44	50216
dusk	17	19	50426
dust	19	23	50433
dutch	13	16	50476
duties	14	17	50483
duty	14	17	50490
dvd	19	23	50507
dvorak	22	26	50514
dvorakâs	18	19	50557
